holding_id,client_id,account_type,ticker,asset_name,shares,price_per_share,value
H0001,C001,401k,VTI,Vanguard Total Stock Market ETF,108.5,369.61,40113
H0002,C001,401k,BND,Vanguard Total Bond Market ETF,275.0,72.85,20034
H0003,C001,IRA,VNQ,Vanguard Real Estate ETF,152.0,98.40,14957
H0004,C001,brokerage_taxable,AAPL,Apple Inc.,45.0,310.66,13980
H0005,C001,brokerage_taxable,MSFT,Microsoft Corp.,30.0,388.84,11665
H0006,C001,savings,CASH,Cash,20000,1.00,20000
H0007,C002,brokerage_taxable,NVDA,NVIDIA Corp.,400.0,195.00,78000
H0008,C002,brokerage_taxable,TSLA,Tesla Inc.,90.0,402.90,36261
H0009,C002,IRA,VNQ,Vanguard Real Estate ETF,500.0,98.40,49200
H0010,C002,brokerage_taxable,AMZN,Amazon.com Inc.,60.0,245.98,14759
H0011,C002,savings,CASH,Cash,15000,1.00,15000
H0012,C003,401k,VTI,Vanguard Total Stock Market ETF,15.0,369.61,5544
H0013,C003,401k,BND,Vanguard Total Bond Market ETF,20.0,72.85,1457
H0014,C003,brokerage_taxable,AAPL,Apple Inc.,10.0,310.66,3107
H0015,C003,savings,CASH,Cash,5000,1.00,5000
H0016,C004,401k,VTI,Vanguard Total Stock Market ETF,250.0,369.61,92403
H0017,C004,401k,BND,Vanguard Total Bond Market ETF,400.0,72.85,29140
H0018,C004,IRA,VNQ,Vanguard Real Estate ETF,300.0,98.40,29520
H0019,C004,brokerage_taxable,MSFT,Microsoft Corp.,50.0,388.84,19442
H0020,C004,brokerage_taxable,AAPL,Apple Inc.,40.0,310.66,12426
H0021,C004,savings,CASH,Cash,15000,1.00,15000
H0022,C005,401k,VTI,Vanguard Total Stock Market ETF,40.0,369.61,14784
H0023,C005,401k,BND,Vanguard Total Bond Market ETF,50.0,72.85,3643
H0024,C005,savings,CASH,Cash,20000,1.00,20000
H0025,C005,checking,CASH,Cash,3000,1.00,3000
H0026,C006,IRA,BND,Vanguard Total Bond Market ETF,1500.0,72.85,109275
H0027,C006,IRA,VNQ,Vanguard Real Estate ETF,800.0,98.40,78720
H0028,C006,brokerage_taxable,VTI,Vanguard Total Stock Market ETF,300.0,369.61,110883
H0029,C006,savings,CASH,Cash,50000,1.00,50000
H0030,C006,checking,CASH,Cash,10000,1.00,10000
H0031,C007,401k,VTI,Vanguard Total Stock Market ETF,200.0,369.61,73922
H0032,C007,brokerage_taxable,NVDA,NVIDIA Corp.,300.0,195.00,58500
H0033,C007,brokerage_taxable,TSLA,Tesla Inc.,100.0,402.90,40290
H0034,C007,brokerage_taxable,AMZN,Amazon.com Inc.,150.0,245.98,36897
H0035,C007,savings,CASH,Cash,20000,1.00,20000
H0036,C008,401k,VTI,Vanguard Total Stock Market ETF,300.0,369.61,110883
H0037,C008,401k,BND,Vanguard Total Bond Market ETF,500.0,72.85,36425
H0038,C008,IRA,VNQ,Vanguard Real Estate ETF,400.0,98.40,39360
H0039,C008,brokerage_taxable,MSFT,Microsoft Corp.,40.0,388.84,15554
H0040,C008,savings,CASH,Cash,15000,1.00,15000
H0041,C009,brokerage_taxable,NVDA,NVIDIA Corp.,20.0,195.00,3900
H0042,C009,savings,CASH,Cash,3000,1.00,3000
H0043,C009,checking,CASH,Cash,1500,1.00,1500
H0044,C010,IRA,VTI,Vanguard Total Stock Market ETF,200.0,369.61,73922
H0045,C010,IRA,BND,Vanguard Total Bond Market ETF,300.0,72.85,21855
H0046,C010,brokerage_taxable,AAPL,Apple Inc.,60.0,310.66,18640
H0047,C010,brokerage_taxable,VNQ,Vanguard Real Estate ETF,150.0,98.40,14760
H0048,C010,savings,CASH,Cash,25000,1.00,25000
H0049,C011,IRA,BND,Vanguard Total Bond Market ETF,2000.0,72.85,145700
H0050,C011,IRA,VTI,Vanguard Total Stock Market ETF,400.0,369.61,147844
H0051,C011,brokerage_taxable,VNQ,Vanguard Real Estate ETF,600.0,98.40,59040
H0052,C011,savings,CASH,Cash,40000,1.00,40000
H0053,C011,checking,CASH,Cash,8000,1.00,8000
H0054,C012,401k,VTI,Vanguard Total Stock Market ETF,80.0,369.61,29569
H0055,C012,401k,BND,Vanguard Total Bond Market ETF,100.0,72.85,7285
H0056,C012,brokerage_taxable,MSFT,Microsoft Corp.,15.0,388.84,5833
H0057,C012,savings,CASH,Cash,25000,1.00,25000
H0058,C013,401k,VTI,Vanguard Total Stock Market ETF,300.0,369.61,110883
H0059,C013,brokerage_taxable,NVDA,NVIDIA Corp.,500.0,195.00,97500
H0060,C013,brokerage_taxable,TSLA,Tesla Inc.,200.0,402.90,80580
